text,diggCount
liat rektor pas pkkmb sama wisuda doang,16
apsti vokasi??,1
RILL SKRG SMT 2 BARU LIAT REKTOR PAS DI GOR DOANG PKKMB??,1
@accidentallycha ??,0
Ga pernh tengok pun ??,1
ga keliatan tuhh,0
@?? @certified yapper ??,0
bener emang pengen menyapa rakyat nya,0
Wkwk melu bimbingan wae mb ??????,0
@aylazzhrr,0
nyapa opo yahh??,0
@kayinna @?????????????????? @nadyne?? ??,0
@nestlé @aish_ @melii??,0
mls,0
@naylaaa ??,0
ngakak ????????,0
"@one ini kita warga kampus ungu harus seneng apa sedih ya, gara"" ga disapa pak rektor?",0
KAK?!?!? ??????,0
@0% nihh rektormu??,0
waduhhh yunkkk,1
Fbsb kan ga lewat situ… kan gerbang utamanya kga di sono. Lewat lembah,0
"fbsb, lab fmipa, sama fikk kalo keluar harus muterin fbsb dulu kakk",23
"Muterin fbsb nya bener, tapi kan ga perlu lewat gerbang utama rektorat ?? jujur kesel harus tawaf dlu",3
"tp ttp rame kak, sebel gabisa kuliah dg tenang krna suara motor2 lewat terus",0
"kak sumpah mampir ke fbs deh, fbs yang ramah pejalan kaki aja sekarang cuma ganti gedung serasa nyebrang di jalan raya. ini bukan masalah muter lagi tapi fbsb jadi beneran ga harmonis?? yang biasanya rame karna gamelan, latihan nari, anak musik, teater, sekarang malah ramenya suara motor, mana tadi ada yang knalpot nya berisik",2
kak bener banget. kami anak s2 yang kuliah sampe mepet maghrib tiap sore kelasnya malah kebisingan sama suara motor lalu lalang pulang kampus??,0
FBSB itu yg paling belakang kan gedungnya kak?,0
"iya lagii, sbg pejalan kaki yg biasanya jalan tenang skrg hrs minggir’ dlu krna banyak motor’ lewat??memulai kehidupan baru di fbsb????",81
asli??????,0
maaf kak fbsb di serbu anak fikk,38
[Sticker] dri ranggawarsita ke WS rendra skrg aj skrg nyebrang ancrit,26
nyebrang serasa di jalan raya??,5
Lab FMIPA juga kak????,2
"HAAHAHA IYA BANGET, CAPEK GW RAME",1
"iyaa lagi, jadi rame bgt?????",1
ASLIII TADI RAME BNGT AKHHH ????????????????,2
jadi malas kuliah,0
gausah kuliah kak,0
IYA IH??????,1
"iya jir biasanya jalan kaki di timur ws tentram, skrg harus jalan dipinggir biar ga ketabrak??",0
emg skrg lewat mana kak yg fbs?,0
"iya njirr, tapi gapapa karena ganteng ganteng wkwk ??",0
"IYA IH JADI RAME, masa dr ws mau kekantin harus nyebrang dulu??",0
"kak, aku sebagai warga MIPA pun menggerutu sepanjang jalan MIPA-FIKK-FBSB ??bisa terbang mending terbang gw mah",0
fbsb diserang fikk?????,0
WKWKWKWKWKWKWKWKWKWK,0
WKWKWK,0
NGAKAK BGT??,9
towaf dulu kak haha,0
ini iya bangettt????,0
WKAOWKAOWKAOAK,0
@vyxxxaa_ @kim's @Sava sehat sehat yg dkt kost,0
uny tak pindah ngarep omahku wae piye,0
"wkwkw iya lagi, dah paling bener jalan kaki aja kak ngga muter muter bisa lewat nyempil² ??",1
pengen balik karmal jalan kaki wae,0
